Title,Character,Max Level,SA Level,Rarity,Type,Cost,ID,JP Release Date,Global Release Date,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Links,Categories,HP,Attack,Defense,Details,References,Transforms Into,JP EZA Release Date,Global EZA Release Date,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Active Skill Name,Active Skill,Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Supreme Warrior Awakened,Super Saiyan Goku,80/100,1/10,SSR to UR,AGL to Super AGL,16/23,1001,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Raise ATK""]","AGL, INT and PHY Type ATK +30%",Kamehameha,Causes extreme damage to enemy,Berserker's Rage,Ki +5 when HP is 30% or below,"[""Blazing Battle Lv 1: Disables enemy's Rampage; ATK +15%Lv 10: Disables enemy's Rampage; ATK +20%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack""]","[""Pure Saiyans"", ""Goku's Family"", ""Super Saiyans"", ""Kamehameha"", ""Turtle School"", ""Bond of Friendship"", ""Bond of Parent and Child""]","[""2210"", ""8282"", ""10282"", ""13282""]","[""1898"", ""7136"", ""9136"", ""12136""]","[""1050"", ""3857"", ""5857"", ""8857""]","[""\u25ba 12 Ki Multiplier is 115%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pride Regained,Super Saiyan Vegeta,80/100,1/10,SSR to UR,TEQ to Extreme TEQ,16/23,1002,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Raise ATK""]","TEQ, INT & STR Type ATK + 30%",Big Bang Attack,Causes extreme damage to enemy,Saiyan's Pride,Ki +2 and ATK +2000 when HP is 30% or below,"[""Blazing Battle Lv 1: Disables enemy's Rampage; ATK +15%Lv 10: Disables enemy's Rampage; ATK +20%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%""]","[""Pure Saiyans"", ""Vegeta's Family"", ""Super Saiyans"", ""Androids/Cell Saga"", ""Gifted Warriors"", ""Mastered Evolution""]","[""2135"", ""7920"", ""9920"", ""12920""]","[""1763"", ""6700"", ""8700"", ""11700""]","[""1185"", ""4325"", ""6325"", ""9325""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Saiyan Among Us,Goku,60/80,1/10,SR to SSR,STR to Super STR,10/14,1003,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Raise ATK""]",TEQ and STR Type Ki +2,Kamehameha,Causes huge damage to enemy,Latent Power,ATK +2500 when performing a Super Attack,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""High Compatibility Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%""]","[""Low-Class Warrior"", ""Planet Namek Saga"", ""Pure Saiyans"", ""Goku's Family"", ""Kamehameha"", ""Saviors"", ""Turtle School"", ""Bond of Friendship"", ""Bond of Parent and Child""]","[""1632"", ""6696""]","[""1250"", ""6192""]","[""854"", ""3361""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genius of War,Vegeta,60/80,1/10,SR to SSR,TEQ to Super TEQ,10/14,1004,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise ATK""]",ATK +25% when HP is 30% or below,Galick Gun,Causes huge damage to enemy,Prince's Pride,ATK +40% when HP is 30% or below,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Prodigies Lv 1: ATK +10%Lv 10: ATK +15%""]","[""Pure Saiyans"", ""Dragon Ball Seekers"", ""Vegeta's Family"", ""Terrifying Conquerors"", ""Inhuman Deeds"", ""Space-Traveling Warriors"", ""Gifted Warriors"", ""Planetary Destruction"", ""Battle of Fate"", ""Saiyan Saga""]","[""1574"", ""6457""]","[""1093"", ""5637""]","[""1036"", ""4106""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emperor of Iniquity,Frieza (1st Form),60/80,1/10,SR to SSR,STR to Extreme STR,8/12,1005,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Lower ATK"", ""Raise ATK""]",ATK +15% for all Types,Death Beam,Causes huge damage to enemy and lowers ATK[1],Overwhelming Power,ATK +1500 at start of turn,"[""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Prodigies Lv 1: ATK +10%Lv 10: ATK +15%"", ""Frieza's Army Lv 1: DEF +20%Lv 10: ATK +10% and DEF +20%"", ""Metamorphosis Lv 1: Recovers 5% HPLv 10: Recovers 5% HP and ATK & DEF +10%"", ""Universe's Most Malevolent Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Planet Namek Saga"", ""Transformation Boost"", ""Wicked Bloodline"", ""Terrifying Conquerors"", ""Inhuman Deeds"", ""Space-Traveling Warriors"", ""Gifted Warriors"", ""Planetary Destruction"", ""Sworn Enemies""]","[""1385"", ""5900""]","[""1169"", ""6064""]","[""1006"", ""4110""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 Lowers enemy's ATK by 10% for 3 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Despair's Onslaught,Frieza (1st Form),60/80,1/10,SR to SSR,STR to Extreme STR,10/14,1006,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Lower ATK"", ""Lower DEF"", ""Raise ATK""]",STR Type ATK +25%,Death Beam,Cause huge damage to enemy and lowers ATK[1],Hopeless Terror,With a chance[2] to lower all enemies' ATK & DEF by 30%,"[""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Prodigies Lv 1: ATK +10%Lv 10: ATK +15%"", ""Frieza's Army Lv 1: DEF +20%Lv 10: ATK +10% and DEF +20%"", ""Metamorphosis Lv 1: Recovers 5% HPLv 10: Recovers 5% HP and ATK & DEF +10%"", ""Universe's Most Malevolent Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Planet Namek Saga"", ""Transformation Boost"", ""Wicked Bloodline"", ""Terrifying Conquerors"", ""Inhuman Deeds"", ""Space-Traveling Warriors"", ""Gifted Warriors"", ""Planetary Destruction"", ""Sworn Enemies""]","[""1926"", ""6720""]","[""1265"", ""6120""]","[""948"", ""3505""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 Lowers enemy's ATK by 10% for 3 turns\n"", ""\u2191 5% chance to lower enemies' ATK & DEF for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Android Evolution,Cell (1st Form),60/80,1/10,SR to SSR,AGL to Extreme AGL,8/12,1007,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Final Blow"", ""Raise ATK""]",AGL Type ATK +25%,Kamehameha,Causes huge damage to enemy,Absorption,Deliver the final blow for ATK +2500,"[""Flee Lv 1: Ki +1 when HP is 30% or lessLv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +10% when HP is 50% or less"", ""Messenger from the Future Lv 1: ATK +5%Lv 10: ATK +10%"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Attack of the Clones Lv 1: Ki +1Lv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +5%"", ""The Wall Standing Tall Lv 1: Disables enemy's True Power; ATK +15%Lv 10: Disables enemy's True Power; ATK +20%""]","[""Androids"", ""Transformation Boost"", ""Time Travelers"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Kamehameha"", ""Target: Goku"", ""Power Absorption"", ""Sworn Enemies"", ""Worldwide Chaos""]","[""1309"", ""5576""]","[""1099"", ""5763""]","[""943"", ""3841""]","[""\u25ba 12 Ki Multiplier is 123%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time-traversing Evil,Cell (1st Form),60/80,1/10,SR to SSR,TEQ to Extreme TEQ,10/14,1008,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK"", ""Recovery""]",TEQ Type ATK +25%,Kamehameha,Causes huge damage to enemy,Energy Absorption,Recover 25% of damage dealt as HP when Ki Meter is 8 or more,"[""Flee Lv 1: Ki +1 when HP is 30% or lessLv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +10% when HP is 50% or less"", ""Messenger from the Future Lv 1: ATK +5%Lv 10: ATK +10%"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Attack of the Clones Lv 1: Ki +1Lv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +5%"", ""The Wall Standing Tall Lv 1: Disables enemy's True Power; ATK +15%Lv 10: Disables enemy's True Power; ATK +20%""]","[""Androids"", ""Transformation Boost"", ""Time Travelers"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Kamehameha"", ""Target: Goku"", ""Power Absorption"", ""Sworn Enemies"", ""Worldwide Chaos""]","[""1790"", ""6720""]","[""1088"", ""5616""]","[""1145"", ""4553""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrelenting Fighter,Gohan (Kid),60/80,1/10,SR to SSR,STR to Super STR,10/14,1009,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Raise ATK"", ""Stun""]",TEQ and STR Type ATK +25%,Masenko,Huge damage and rare chance to stun the enemy[1],Ultimate Blow,Ki +5 when HP is 10% or below (once only),"[""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Berserker Lv 1: ATK +20% when HP is 50% or lessLv 10: ATK +30% when HP is 50% or less""]","[""Hybrid Saiyans"", ""Goku's Family"", ""Youth"", ""Bond of Master and Disciple"", ""Saiyan Saga"", ""Bond of Parent and Child""]","[""1302"", ""7126""]","[""639"", ""5857""]","[""616"", ""2920""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 10% chance to stun the enemy for 2 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk Eyes,Trunks (Teen),60/80,1/10,SR to SSR,AGL to Super AGL,10/14,1010,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Final Blow"", ""Raise ATK""]",AGL and PHY Type ATK +25%,Shining Slash,Causes huge damage to enemy,Barrage,Deliver the final blow for ATK +25% in the next attack,"[""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Cold Judgment Lv 1: DEF +20%Lv 10: DEF +25%"", ""Messenger from the Future Lv 1: ATK +5%Lv 10: ATK +10%"", ""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Hybrid Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Androids/Cell Saga"", ""Bond of Master and Disciple"", ""Saviors"", ""Battle of Wits"", ""Entrusted Will""]","[""1657"", ""6798""]","[""1184"", ""6010""]","[""835"", ""3282""]","[""\u25ba 12 Ki Multiplier is 110%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
